City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
688,Buraydah,SA,81.05,few clouds,26.326,43.975,Mövenpick Qassim
693,Lincoln,US,86.56,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
699,Pishin,PK,75.61,few clouds,30.5803,66.9961,City Hotel Pishin
700,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
703,Gushikawa,JP,76.62,light rain,26.3544,127.8686,Kirari Guest House
705,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Alize Plage
706,Wuzhou,CN,72.01,overcast clouds,23.4833,111.3167,Wuzhou Hostel
708,Dzilam Gonzalez,MX,88.38,clear sky,21.2833,-88.9333,posadas
710,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
711,Lupiro,TZ,70.57,clear sky,-8.3833,36.6667,AFRICAN JACCANA EXECUTIVE LODGE
713,Baghdad,IQ,77.83,clear sky,33.3406,44.4009,Baghdad Hotel
715,Ormond Beach,US,77.07,clear sky,29.2858,-81.0559,Makai Beach Lodge
716,Tautira,PF,81.28,few clouds,-17.7333,-149.15,Pension Oaoa
717,Kashi,CN,76.21,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
719,Vieux-Habitants,GP,81.97,broken clouds,16.0589,-61.7659,Gîtes Dardanelle
722,Ca Mau,VN,79.3,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
724,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
725,Mabaruma,GY,81.82,broken clouds,8.2,-59.7833,Monty Brooms Guest House
728,Idah,NG,76.53,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
729,Anloga,GH,82.94,overcast clouds,5.7947,0.8973,Pin Drop Hotel
730,Lampari,PH,74.62,overcast clouds,6.3125,124.8803,Kenneth Vallejo Residence
736,Kendari,ID,74.89,overcast clouds,-3.945,122.4989,Hotel Wixel
742,Amalapuram,IN,80.64,overcast clouds,16.5833,82.0167,swayamprabha service apartments
743,Porbandar,IN,82.58,few clouds,21.6422,69.6093,Lords Inn Porbandar
750,Lethem,GY,89.65,few clouds,3.3803,-59.7968,Savannah Inn
752,Pires Do Rio,BR,73.56,scattered clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
758,Sorong,ID,79.41,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
761,Cozumel,MX,87.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
765,Nizwa,OM,82.24,clear sky,22.9333,57.5333,Orient Apartments
767,Kilindoni,TZ,81.14,clear sky,-7.9139,39.6668,Bustani B&B
768,Beruwala,LK,81.79,overcast clouds,6.4788,79.9828,The Palms Hotel
772,Maragogi,BR,77.68,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
774,Eseka,CM,73.83,overcast clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
775,Paka,MY,76.93,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
776,Ormara,PK,81.9,clear sky,25.2088,64.6357,Kenara Colony house for Rent
777,Sakakah,SA,72.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
782,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
783,Tual,ID,84.2,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
785,Manaure,CO,86.04,overcast clouds,11.7751,-72.4445,Hotel Palaaima
786,Mackay,AU,71.69,moderate rain,-21.15,149.2,International Lodge Motel
788,Rincon,US,83.86,clear sky,32.296,-81.2354,Days Inn Rincon
791,Da Nang,VN,76.98,few clouds,16.0678,108.2208,Grand Mercure Danang
796,Kashan,IR,71.02,clear sky,33.9831,51.4364,Manouchehri Traditional House
799,Thomaston,US,85.08,clear sky,32.8882,-84.3266,Days Inn by Wyndham Thomaston
800,Charcas,MX,86.59,clear sky,23.1333,-101.1167,Hotel El Malacate
