City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Celina,US,2022-05-07 14:36:06,40.5489,-84.5702,55.06,64,94,19.89
225,Aden,YE,2022-05-07 14:36:06,12.7794,45.0367,86.2,69,7,6.11
226,Saint-Joseph,RE,2022-05-07 14:36:07,-21.3667,55.6167,77.38,78,32,13.62
227,Castro,BR,2022-05-07 14:36:07,-24.7911,-50.0119,63.19,53,63,5.06
228,Sibolga,ID,2022-05-07 14:36:08,1.7427,98.7792,76.05,90,100,2.17
229,Rathkeale,IE,2022-05-07 14:36:08,52.5244,-8.9381,67.64,59,75,6.91
230,Pitsunda,GE,2022-05-07 14:37:09,43.1592,40.3378,55.58,89,100,2.64
231,Krasnogvardeyets,RU,2022-05-07 14:37:09,52.6804,52.3635,53.46,48,4,6.6
232,Marovoay,MG,2022-05-07 14:37:10,-16.1,46.6333,85.57,54,74,1.07
233,Pevek,RU,2022-05-07 14:37:10,69.7008,170.3133,19.85,100,99,5.48
234,Garowe,SO,2022-05-07 14:37:11,8.4054,48.4845,91.71,38,96,11.9
235,Faya,SA,2022-05-07 14:37:11,18.3851,42.4509,77.11,49,7,8.9
236,Christchurch,NZ,2022-05-07 14:37:12,-43.5333,172.6333,61.48,87,85,5.75
237,Mahebourg,MU,2022-05-07 14:37:13,-20.4081,57.7,78.26,78,75,4.61
238,Preobrazheniye,RU,2022-05-07 14:37:13,42.9019,133.9064,42.98,64,0,8.99
239,Wairoa,NZ,2022-05-07 14:37:14,-39.0333,177.3667,48.54,97,38,4.0
240,Xacmaz,AZ,2022-05-07 14:37:14,41.4635,48.806,55.2,84,68,15.64
241,Bastrop,US,2022-05-07 14:37:15,32.7562,-91.8724,71.69,74,0,1.01
242,Petropavlovsk-Kamchatskiy,RU,2022-05-07 14:37:15,53.0452,158.6483,34.39,87,94,4.47
243,Morros,BR,2022-05-07 14:37:16,-9.4467,-46.3003,89.92,36,7,8.68
244,Iqaluit,CA,2022-05-07 14:36:46,63.7506,-68.5145,20.93,63,75,9.22
245,Isangel,VU,2022-05-07 14:37:06,-19.55,169.2667,75.74,74,16,16.93
246,Namibe,AO,2022-05-07 14:37:17,-15.1961,12.1522,83.03,54,0,17.27
247,Doembang Nangbuat,TH,2022-05-07 14:37:17,14.8333,100.1,82.06,92,99,4.52
248,Hobyo,SO,2022-05-07 14:37:18,5.3505,48.5268,83.86,79,58,18.01
249,Vrangel,RU,2022-05-07 14:37:18,42.7297,133.0839,44.64,65,2,9.17
250,Port-Gentil,GA,2022-05-07 14:37:19,-0.7193,8.7815,82.36,83,75,4.61
251,Richards Bay,ZA,2022-05-07 14:33:06,-28.783,32.0377,70.7,86,0,5.17
252,Labuhan,ID,2022-05-07 14:37:20,-6.8844,112.2051,80.62,85,87,4.88
253,Ahuimanu,US,2022-05-07 14:37:20,21.4447,-157.8378,74.91,76,100,14.97
254,Aasiaat,GL,2022-05-07 14:37:21,68.7098,-52.8699,21.04,84,56,4.43
255,Santa Cruz,BO,2022-05-07 14:37:21,-17.8,-63.1667,77.05,44,40,14.97
256,Longyearbyen,SJ,2022-05-07 14:37:22,78.2186,15.6401,19.24,73,75,18.41
257,Nebolchi,RU,2022-05-07 14:37:22,59.1239,33.3454,57.6,70,29,11.25
258,Svarstad,NO,2022-05-07 14:37:23,59.399,9.9698,60.94,26,69,0.87
259,Katsuura,JP,2022-05-07 14:37:23,35.1333,140.3,62.28,91,97,4.47
260,Abu Samrah,SY,2022-05-07 14:37:24,35.3029,37.1841,66.31,36,23,21.61
261,Jambi,ID,2022-05-07 14:37:24,-1.6,103.6167,76.84,97,100,3.06
262,Kutum,SD,2022-05-07 14:37:25,14.2,24.6667,94.08,6,99,8.95
263,Samsun,TR,2022-05-07 14:37:25,41.25,36.3333,52.99,76,75,17.27
264,Iquitos,PE,2022-05-07 14:35:04,-3.7481,-73.2472,78.84,83,75,2.3
265,Dieppe,FR,2022-05-07 14:37:26,49.75,1.1667,65.08,68,62,1.99
266,Kalabo,ZM,2022-05-07 14:37:27,-14.97,22.6814,82.63,36,74,2.48
267,Manjakandriana,MG,2022-05-07 14:37:27,-18.9167,47.8,67.69,95,66,5.5
268,Kieta,PG,2022-05-07 14:37:28,-6.2167,155.6333,79.03,84,98,3.69
269,Bilma,NE,2022-05-07 14:37:28,18.6853,12.9164,105.33,8,92,2.98
270,Port Lincoln,AU,2022-05-07 14:37:29,-34.7333,135.8667,56.55,78,12,2.44
271,Aquiraz,BR,2022-05-07 14:37:29,-3.9014,-38.3911,86.18,68,100,10.76
272,Saint-Augustin,CA,2022-05-07 14:37:30,51.226,-58.6502,38.57,49,99,16.67
273,Piet Retief,ZA,2022-05-07 14:37:30,-27.0071,30.8132,63.95,39,5,0.43
274,Chiredzi,ZW,2022-05-07 14:37:31,-21.05,31.6667,77.79,40,0,0.96
275,Umm Kaddadah,SD,2022-05-07 14:38:31,13.6017,26.6876,99.55,6,100,11.27
276,Douglas,US,2022-05-07 14:36:48,41.3,-96.167,61.36,70,0,16.11
277,Kahului,US,2022-05-07 14:38:32,20.8947,-156.47,75.22,70,20,16.11
278,Eureka,US,2022-05-07 14:38:32,40.8021,-124.1637,51.93,94,79,1.99
279,San Policarpo,PH,2022-05-07 14:38:33,12.1791,125.5072,81.59,83,12,10.83
280,Hambantota,LK,2022-05-07 14:36:38,6.1241,81.1185,84.54,84,75,8.05
281,Bom Despacho,BR,2022-05-07 14:38:33,-19.7364,-45.2522,77.72,59,10,5.44
282,Hailar,CN,2022-05-07 14:38:34,49.2,119.7,48.13,20,63,10.36
283,Port Elizabeth,ZA,2022-05-07 14:38:34,-33.918,25.5701,61.09,96,100,6.91
284,Miles City,US,2022-05-07 14:38:35,46.4083,-105.8406,56.37,62,20,12.66
285,Neyshabur,IR,2022-05-07 14:38:35,36.2133,58.7958,82.65,21,25,3.15
286,Montepuez,MZ,2022-05-07 14:38:36,-13.1256,38.9997,73.02,78,93,4.9
287,Kamaishi,JP,2022-05-07 14:38:37,39.2667,141.8833,54.3,98,100,8.1
288,Anito,PH,2022-05-07 14:38:37,12.4497,125.2886,79.88,88,10,8.12
289,Arica,CL,2022-05-07 14:38:38,-18.475,-70.3042,64.63,72,100,2.3
290,Upata,VE,2022-05-07 14:38:38,8.0086,-62.3989,72.19,77,98,1.99
291,Tuatapere,NZ,2022-05-07 14:38:39,-46.1333,167.6833,54.03,90,73,5.75
292,Nelson Bay,AU,2022-05-07 14:38:39,-32.7167,152.15,55.09,81,99,1.01
293,Abbeville,FR,2022-05-07 14:38:40,50.1,1.8333,66.49,71,67,8.21
294,Orda,RU,2022-05-07 14:38:40,57.1951,56.9091,50.95,66,69,8.79
