City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Ranfurly,NZ,-45.1333,170.1,43.11,86,10,2.98,clear sky
135,Coihaique,CL,-45.5752,-72.0662,52.41,71,0,3.44,clear sky
136,Nanortalik,GL,60.1432,-45.2371,36.55,86,51,7.63,broken clouds
137,Kuminskiy,RU,58.6667,66.5667,55.27,56,100,8.75,overcast clouds
138,Cumra,TR,37.5732,32.7745,51.94,38,8,3.09,clear sky
139,Port Elizabeth,ZA,-33.918,25.5701,66.31,71,0,6.91,clear sky
140,Inhambane,MZ,-23.865,35.3833,66.79,87,0,6.55,clear sky
141,Yahotyn,UA,50.2798,31.7625,42.1,69,13,6.38,few clouds
142,Urumqi,CN,43.801,87.6005,61.75,25,0,2.24,clear sky
143,Khatanga,RU,71.9667,102.5,21.85,98,99,3.04,overcast clouds
144,Norman Wells,CA,65.282,-126.8329,46.44,31,75,5.75,broken clouds
145,Calama,CL,-22.4667,-68.9333,70.29,9,0,19.57,clear sky
146,Ponta Do Sol,PT,32.6667,-17.1,72.12,43,66,9.04,light rain
147,Komsomolskiy,UZ,40.4272,71.7189,61.52,82,0,6.91,clear sky
148,Koslan,RU,63.4564,48.8989,30.27,94,66,2.01,broken clouds
149,Muros,ES,42.7762,-9.0603,61.84,72,32,5.88,scattered clouds
150,Alyangula,AU,-13.8483,136.4192,78.33,85,91,14.07,overcast clouds
151,Georgetown,MY,5.4112,100.3354,84.13,88,20,2.3,few clouds
152,Hithadhoo,MV,-0.6,73.0833,83.37,76,99,16.44,overcast clouds
153,Vila Velha,BR,-20.3297,-40.2925,75.15,78,40,9.22,scattered clouds
154,Usvyaty,RU,55.7456,30.7533,40.28,77,6,2.53,clear sky
155,Broken Hill,AU,-31.95,141.4333,54.61,89,100,16.84,light rain
156,Bandarbeyla,SO,9.4942,50.8122,82.72,81,16,4.5,few clouds
157,Kalabo,ZM,-14.97,22.6814,63.34,47,1,4.7,clear sky
158,Bundaberg,AU,-24.85,152.35,72.21,94,40,10.36,scattered clouds
159,Atuona,PF,-9.8,-139.0333,78.49,68,60,20.07,broken clouds
160,Alice Springs,AU,-23.7,133.8833,40.55,81,0,6.91,clear sky
